Funds,Classification,Fund Manager,Fund Type,Benchmark Index,AUM(In Rs. Cr),Expenseratio (%),NAV,Return (%)1 Yr,Return (%)3 Yrs,Return (%)5 Yrs,Return (%)10 Yrs,Turnover Ratio (%),Avg. Market Cap(In Rs. Cr),Avg. Maturity(In Yrs),Modified Duration(In Yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,Fund Age (Years)
Franklin India Smaller Cos Fund(G),Equity : Small Cap,R. Janakiraman,Open Ended,Nifty Smallcap 250,11969.6,1.77,158.06,8.43,20.7,33.47,15.52,23.87,16827,3.105,2.595,7.065,0.34,0.25,0.44,0.83,17.79,19
Franklin India ST Income Plan(G),Debt : Short Duration,Santosh Kamath,Open Ended,CRISIL Short Term Bond Index,12.5,1.04,15041.17,6.61,5.35,7.43,6.62,0.0,160311,1.17,1.05,10.88,0.15,0.28,0.55,0.82,2.55,23
Franklin India Technology Fund(G),Equity : Sectoral NA Technology,R. Janakiraman,Open Ended,BSE TECk Index,1754.1,2.07,472.81,1.75,15.61,25.08,15.74,61.16,269162,3.105,2.595,7.065,0.56,0.15,0.29,0.89,17.88,26
Franklin India Ultra Short Duration FundNAReg(G),Debt : Ultra Short Duration,Rohan Maru,Open Ended,NIFTY Ultra Short Duration Debt Index,227.4,0.67,10.5,8.43,12.555,15.835,10.335,0.0,160311,0.89,0.47,7.35,0.15,0.28,0.55,0.94,12.62,0
Groww Aggressive Hybrid FundNAReg(G),Hybrid : Equity Oriented,Anupam Tiwari,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,44.6,2.3,20.04,3.28,11.7,16.04,10.335,204.0,363028,3.105,2.595,7.065,0.15,0.18,0.35,1.08,10.77,6
Groww Banking & Financial Services FundNAReg(G),Equity : Sectoral NA Financial Services,Anupam Tiwari,Open Ended,Nifty Financial Services NA TRI,49.3,2.3,10.97,5.92,12.555,15.835,10.335,85.0,230240,3.105,2.595,7.065,0.15,0.05,0.08,0.99,15.13,1
Groww Dynamic Bond FundNAReg(G),Debt : Dynamic Bond,Kaustubh Sule,Open Ended,CRISIL Dynamic Bond Index,62.4,1.25,1477.74,9.64,6.41,5.51,10.335,0.0,160311,25.99,9.47,7.05,0.15,0.34,0.72,1.38,1.86,6
Groww ELSS Tax Saver FundNAReg(G),Equity : Tax Saving (ELSS),Anupam Tiwari,Open Ended,BSE 500 NA TRI,46.4,2.25,18.34,8.43,12.45,17.2,10.335,183.0,120787,3.105,2.595,7.065,0.15,0.15,0.28,0.97,14.69,7
Groww Gilt FundNAReg(G),Debt : Gilt,Kaustubh Sule,Open Ended,CRISIL Dynamic Gilt Index,756.8,1.04,27.62,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,5
Groww Gold ETF,Gold : ETFs,Wilfred Gonsalves,Open Ended,GoldNAIndia,82.6,0.51,93.09,8.43,12.555,15.835,10.335,1.0,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Groww Gold ETF FOFNAReg(G),Gold : MFs,Wilfred Gonsalves,Open Ended,GoldNAIndia,23.0,0.55,11.89,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Groww Largecap FundNAReg(G),Equity : Large Cap,Anupam Tiwari,Open Ended,NIFTY 100 NA TRI,120.4,2.43,40.42,2.03,13.05,17.4,11.06,222.0,361122,3.105,2.595,7.065,0.15,0.16,0.31,0.99,13.97,13
Groww Liquid FundNAReg(G),Debt : Liquid,Kaustubh Sule,Open Ended,CRISIL Liquid Debt Index,130.3,0.2,2498.75,7.32,6.7,5.26,6.2,0.0,160311,0.17,0.17,7.07,0.15,2.16,0.93,1.14,0.32,13
Groww Multicap FundNAReg(G),Equity : Multi Cap,Anupam Tiwari,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,83.0,2.3,9.21,8.43,12.555,15.835,10.335,56.0,86213,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Groww Nifty 1D Rate Liquid ETF,Debt : ETFs,Kaustubh Sule,Open Ended,Nifty 1D Rate Index,59.5,0.29,103.78,8.43,12.555,15.835,10.335,0.0,160311,0.01,0.01,6.85,0.15,0.28,0.55,0.94,12.62,0
Groww Nifty 200 ETF,Equity : ETFs,Nikhil Satam,Open Ended,NIFTY 200 NA TRI,13.5,0.35,10.8,8.43,12.555,15.835,10.335,77.0,310083,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Groww Nifty 200 ETF FOFNAReg(G),Equity : ETFs,Nikhil Satam,Open Ended,NIFTY 200 NA TRI,7.4,0.7,11.18,8.43,12.555,15.835,10.335,80.0,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Groww Nifty 500 Momentum 50 ETF,Equity : ETFs,Nikhil Satam,Open Ended,Nifty500 Momentum 50 NA TRI,756.8,1.04,10.01,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,5
Groww Nifty 500 Momentum 50 ETF FOFNAReg(G),FoFs : Domestic,Nikhil Satam,Open Ended,Nifty500 Momentum 50 NA TRI,756.8,1.04,9.77,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,5
Groww Nifty EV & New Age Automotive ETF,Equity : ETFs,Nikhil Satam,Open Ended,Nifty EV and New Age Automotive NA TRI,230.0,0.47,27.16,8.43,12.555,15.835,10.335,23.0,89688,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Groww Nifty EV & New Age Automotive ETF FOFNAReg(G),FoFs : Domestic,Nikhil Satam,Open Ended,Nifty EV and New Age Automotive NA TRI,118.2,0.62,8.29,8.43,12.555,15.835,10.335,1.0,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Groww Nifty India Defence ETF,Equity : ETFs,Nikhil Satam,Open Ended,Nifty India Defence NA TRI,91.8,0.43,71.29,8.43,12.555,15.835,10.335,14.0,75188,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Groww Nifty India Defence ETF FOFNAReg(G),FoFs : Domestic,Nikhil Satam,Open Ended,Nifty India Defence NA TRI,34.1,0.63,10.55,8.43,12.555,15.835,10.335,2.0,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Groww Nifty India Railways PSU ETF,Equity : ETFs,Nikhil Satam,Open Ended,Nifty India Railways PSU Index NA TRI,29.1,0.45,34.51,8.43,12.555,15.835,10.335,11.0,78981,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Groww Nifty India Railways PSU Index FundNAReg(G),Equity : Index Funds,Nikhil Satam,Open Ended,Nifty India Railways PSU Index NA TRI,23.5,1.0,9.4,8.43,12.555,15.835,10.335,6.0,78971,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Groww Nifty NonNACyclical Consumer Index FundNAReg(G),Equity : Index Funds,Nikhil Satam,Open Ended,Nifty NonNACyclical Consumer NA TRI,46.0,1.0,10.66,8.43,12.555,15.835,10.335,16.0,213891,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Groww Nifty Smallcap 250 Index FundNAReg(G),Equity : Index Funds,Nikhil Satam,Open Ended,Nifty Smallcap 250 NA TRI,94.9,1.05,10.16,8.43,12.555,15.835,10.335,41.0,16980,3.105,2.595,7.065,0.15,0.04,0.07,1.0,22.8,1
Groww Nifty Total Market Index FundNAReg(G),Equity : Index Funds,Nikhil Satam,Open Ended,Nifty Total Market NA TRI,273.6,1.05,12.95,5.05,12.555,15.835,10.335,8.0,191372,3.105,2.595,7.065,0.15,0.24,0.46,0.99,14.69,1
Groww Overnight FundNAReg(G),Debt : Overnight,Kaustubh Sule,Open Ended,CRISIL Liquid Overnight Index,15.7,0.24,1316.0,6.42,6.11,4.86,10.335,0.0,160311,0.01,0.01,6.85,0.15,2.38,0.77,1.09,0.23,5
Groww Short Duration FundNAReg(G),Debt : Short Duration,Kaustubh Sule,Open Ended,CRISIL Short Duration Debt Index,67.4,1.1,2062.47,8.58,5.89,4.82,6.01,0.0,160311,3.26,2.67,7.21,0.15,0.37,0.57,1.36,1.33,11
Groww Value FundNAReg(G),Equity : Value / Contra,Anupam Tiwari,Open Ended,NIFTY 500 NA TRI,48.3,2.3,25.49,4.95,15.38,20.91,10.335,147.0,212362,3.105,2.595,7.065,0.04,0.2,0.4,0.91,13.71,9
HDFC ArbitrageNAWP(G),Hybrid : Arbitrage,Arun Agarwal,Open Ended,Nifty 50 Arbitrage,18350.4,1.08,30.35,7.4,6.76,5.4,5.71,303.67,284180,0.38,0.35,7.27,0.06,1.28,1.0,0.64,0.58,17
HDFC Asset Allocator FoFNAReg(G),FoFs : Domestic,Srinivasan Ramamurthy,Open Ended,NIFTY 50 Hybrid Composite Debt 65:35 Index,3683.3,1.13,17.74,12.02,15.59,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.48,0.41,0.87,0.52,7.1,3
HDFC Balanced Advantage Fund(G),Hybrid : Dynamic Asset Allocation,Gopal Agrawal,Open Ended,NIFTY 50 Hybrid Composite Debt 50:50 Index,94824.3,1.37,502.09,7.77,20.0,24.94,14.47,28.88,273667,7.33,4.24,7.18,0.72,0.42,0.95,0.67,9.7,24
HDFC Banking & Financial Services FundNAReg(G),Equity : Sectoral NA Financial Services,Anand Laddha,Open Ended,Nifty Financial Services NA TRI,3722.4,1.92,16.41,12.48,18.43,15.835,10.335,18.5,233854,3.105,2.595,7.065,0.13,0.22,0.45,0.95,15.53,3
HDFC Banking and PSU Debt FundNAReg(G),Debt : Banking & PSU,Anil Bamboli,Open Ended,NIFTY Banking and PSU Debt Index,5995.9,0.74,22.84,9.47,7.04,6.82,7.49,0.0,160311,5.51,3.86,7.25,0.11,0.66,0.97,0.34,1.22,11
HDFC BSE 500 ETF,Equity : ETFs,Arun Agarwal,Open Ended,BSE 500 NA TRI,15.6,0.3,35.16,5.74,12.555,15.835,10.335,41.31,221350,3.105,2.595,7.065,0.15,0.34,0.66,1.0,13.13,2
HDFC BSE 500 Index FundNAReg(G),Equity : Index Funds,Arun Agarwal,Open Ended,BSE 500 NA TRI,208.4,0.81,14.62,4.82,12.555,15.835,10.335,28.96,221135,3.105,2.595,7.065,0.15,0.31,0.6,0.99,13.17,1
HDFC BSE Sensex ETF,Equity : ETFs,Arun Agarwal,Open Ended,BSE SENSEX NA TRI,490.9,0.05,89.46,8.75,13.37,20.23,10.335,30.59,669833,3.105,2.595,7.065,0.15,0.17,0.35,1.0,12.76,9
HDFC BSE Sensex Index Fund(G)(Post Addendum),Equity : Index Funds,Arun Agarwal,Open Ended,BSE SENSEX NA TRI,7913.8,0.36,738.74,8.37,12.95,19.79,12.32,8.35,669845,3.105,2.595,7.065,0.15,0.16,0.33,1.0,12.78,22
HDFC Business Cycle FundNAReg(G),Equity : Thematic,Rahul Baijal,Open Ended,NIFTY 500 NA TRI,2762.4,1.98,13.66,3.17,12.555,15.835,10.335,43.37,203378,3.105,2.595,7.065,0.15,0.22,0.43,0.91,12.55,2
HDFC Childrens Fund,Hybrid : Solution Oriented,Chirag Setalvad,Open Ended,NIFTY 50 Hybrid Composite Debt 65:35 Index,9590.5,1.74,282.44,6.58,15.77,21.38,13.18,17.18,159273,7.31,5.08,6.95,0.39,0.3,0.59,0.7,10.06,24
HDFC Corp Bond Fund(G),Debt : Corporate Bond,Anupam Joshi,Open Ended,NIFTY Corporate Bond Index,32526.6,0.59,32.34,9.88,7.48,7.07,7.77,0.0,160311,5.84,3.75,7.31,0.11,0.62,0.92,0.43,1.49,14
HDFC Credit Risk Debt FundNA(G),Debt : Credit Risk,Shobhit Mehrotra,Open Ended,NIFTY Credit Risk Bond Index,7229.7,1.59,23.8,8.9,6.99,7.87,7.7,0.0,160311,4.07,2.62,8.33,0.1,0.63,0.84,0.36,1.28,11
HDFC Defence FundNAReg(G),Equity : Thematic,Abhishek Poddar,Open Ended,Nifty India Defence NA TRI,4975.5,1.82,20.96,13.38,12.555,15.835,10.335,10.29,55214,3.105,2.595,7.065,0.15,0.37,0.8,0.81,29.69,1
HDFC Dividend Yield FundNAReg(G),Equity : Thematic NA Dividend Yield,Gopal Agrawal,Open Ended,NIFTY 500 NA TRI,5963.7,1.83,23.62,3.45,18.49,15.835,10.335,8.79,143226,3.105,2.595,7.065,0.27,0.26,0.51,0.96,14.42,4
HDFC Dynamic Debt Fund(G),Debt : Dynamic Bond,Anil Bamboli,Open Ended,NIFTY Composite Debt Index,778.5,1.52,90.03,10.9,7.41,7.26,6.44,0.0,160311,16.92,7.8,6.96,0.06,0.48,1.06,0.56,1.89,27
HDFC ELSS Tax saver(G),Equity : Tax Saving (ELSS),Roshi Jain,Open Ended,NIFTY 500 NA TRI,15555.7,1.66,1363.85,13.12,22.8,27.35,13.29,30.04,245253,3.105,2.595,7.065,0.64,0.37,0.82,0.85,12.74,29
HDFC Equity Savings Fund(G),Hybrid : Equity Oriented,Srinivasan Ramamurthy,Open Ended,NIFTY 50 Equity Savings Index NA TRI,5429.6,1.86,64.46,6.51,10.12,13.17,9.51,24.81,379184,4.42,3.11,7.08,0.11,0.3,0.65,0.91,5.08,20
HDFC Flexi Cap Fund(G),Equity : Flexi Cap,Roshi Jain,Open Ended,NIFTY 500 NA TRI,69639.1,1.41,1920.94,15.57,23.47,29.85,15.28,26.57,259115,1.14,0.92,6.78,0.66,0.37,0.81,0.87,12.99,30
HDFC Floating Rate Debt Fund(G),Debt : Floater,Shobhit Mehrotra,Open Ended,CRISIL Short Duration Debt Index,14724.1,0.49,49.41,8.89,7.54,7.05,7.43,0.0,160311,4.56,1.52,7.78,0.22,1.15,1.1,0.17,0.84,17
HDFC Focused 30 Fund(G),Equity : Multi Cap,Roshi Jain,Open Ended,NIFTY 500 NA TRI,17227.0,1.68,221.46,15.58,23.58,29.7,14.47,30.73,219088,3.105,2.595,7.065,0.75,0.41,0.93,0.78,11.82,20
HDFC Gilt Fund(G),Debt : Gilt,Anil Bamboli,Open Ended,Nifty All Duration GNASec Index,2907.4,0.89,55.8,12.05,7.9,6.06,6.98,0.0,160311,16.99,8.37,6.85,0.05,0.46,0.99,0.69,2.22,23
HDFC Gold ETF,Gold : ETFs,Bhagyesh Kagalkar,Open Ended,GoldNAIndia,9025.9,0.59,81.04,31.85,20.5,13.99,12.36,20.84,160311,3.105,2.595,7.065,0.8,0.34,0.81,1.46,12.49,14
HDFC Gold ETF FoF(G),Gold : MFs,Arun Agarwal,Open Ended,GoldNAIndia,3557.6,0.49,28.57,30.33,20.44,13.04,12.07,20.84,160311,3.105,2.595,7.065,0.85,0.35,0.92,1.22,12.0,13
HDFC Housing Opp FundNAReg(G),Equity : Sectoral NA Infrastructure,Srinivasan Ramamurthy,Open Ended,Nifty Housing NA TRI,1257.5,2.22,21.14,8.43,19.57,24.69,10.335,5.35,140712,3.105,2.595,7.065,0.4,0.24,0.45,0.94,17.49,7
HDFC Hybrid Debt Fund(G),Hybrid : Debt Oriented (Conservative),Srinivasan Ramamurthy,Open Ended,NIFTY 50 Hybrid Composite Debt 15:85 Index,3310.0,1.73,81.75,9.2,11.0,12.66,9.0,0.0,343921,11.05,5.73,7.23,0.18,0.42,0.95,0.94,4.22,21
HDFC Hybrid Equity Fund(G),Hybrid : Equity Oriented,Chirag Setalvad,Open Ended,NIFTY 50 Hybrid Composite Debt 65:35 Index,23229.1,1.69,114.79,7.9,13.29,19.55,10.46,24.73,272440,11.02,5.53,7.3,0.15,0.23,0.46,0.74,9.99,19
HDFC Income Fund(G),Debt : Medium to Long Duration,Shobhit Mehrotra,Open Ended,CRISIL Medium to Long Term Debt Index,884.8,1.39,58.35,11.13,7.25,5.75,6.19,0.0,160311,12.3,6.73,6.95,0.15,0.36,0.73,0.79,2.46,24
HDFC Income Plus Arbitrage Active FOFNAReg(G),FoFs : Domestic,Anil Bamboli,Open Ended,NIFTY Composite Debt Index,69.7,1.0,38.56,5.21,13.26,17.64,10.96,0.0,160311,2.95,2.16,7.065,0.15,0.33,0.65,9.62,7.58,13
HDFC Infrastructure Fund(G),Equity : Sectoral NA Infrastructure,Srinivasan Ramamurthy,Open Ended,BSE India Infrastructure Index NA TRI,2329.2,2.0,44.45,0.84,28.77,33.96,10.57,14.13,89150,3.105,2.595,7.065,2.84,0.37,0.76,0.66,18.03,17
HDFC Large and Mid Cap FundNAReg(G),Equity : Large & Mid Cap,Gopal Agrawal,Open Ended,NIFTY LargeMidcap 250 NA TRI,23380.0,1.66,319.08,6.63,19.64,28.14,13.82,4.58,115342,3.105,2.595,7.065,0.19,0.28,0.55,0.98,14.91,31
HDFC Large Cap Fund(G),Equity : Large Cap,Rahul Baijal,Open Ended,NIFTY 100 NA TRI,36108.7,1.62,1109.39,5.82,17.19,23.19,12.66,12.76,451377,3.105,2.595,7.065,0.3,0.25,0.51,0.91,12.83,28
HDFC Liquid Fund(G),Debt : Liquid,Anupam Joshi,Open Ended,CRISIL Liquid Debt Index,50517.5,0.32,5069.9,7.25,6.78,5.39,6.2,0.0,160311,0.23,0.21,7.02,0.15,2.32,0.95,1.17,0.32,24
HDFC Long Duration Debt FundNAReg(G),Debt : Long Duration,Shobhit Mehrotra,Open Ended,NIFTY Long Duration Debt Index,5568.6,0.65,12.46,13.3,12.555,15.835,10.335,0.0,160311,30.15,12.16,7.06,0.15,0.44,1.02,1.47,4.09,2
HDFC Low Duration Fund(G),Debt : Low Duration,Anupam Joshi,Open Ended,NIFTY Low Duration Debt Index,18185.0,1.01,57.1,7.78,6.78,6.34,6.76,0.0,160311,1.95,0.93,7.7,0.08,1.09,0.93,0.69,0.69,25
HDFC Manufacturing FundNAReg(G),Equity : Thematic,Rakesh Sethia,Open Ended,Nifty India Manufacturing NA TRI,11596.7,1.7,9.85,8.43,12.555,15.835,10.335,20.84,98885,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
HDFC Medium Term Debt Fund(G),Debt : Medium Duration,Shobhit Mehrotra,Open Ended,NIFTY Medium Duration Debt Index,3860.8,1.27,55.93,9.69,7.11,7.07,7.27,0.0,160311,6.29,3.94,7.64,0.06,0.5,0.81,0.51,1.64,23
HDFC MidNACap Opportunities Fund(G),Equity : Mid Cap,Chirag Setalvad,Open Ended,Nifty Midcap 150 NA TRI,72610.1,1.42,177.73,9.72,24.4,32.24,17.3,18.22,44813,3.105,2.595,7.065,0.37,0.35,0.7,0.88,15.62,17
HDFC MNC FundNAReg(G),Equity : Thematic NA MNC,Rahul Baijal,Open Ended,NIFTY MNC NA TRI,558.2,2.44,12.42,8.43,12.555,15.835,10.335,49.76,95409,3.105,2.595,7.065,0.15,0.16,0.26,0.92,13.88,2
HDFC Money Market FundNAReg(G),Debt : Money Market,Praveen Jain,Open Ended,CRISIL Money Market Index,26033.9,0.41,5656.74,7.97,7.1,6.11,6.76,0.0,160311,0.87,0.8,7.29,0.13,1.56,0.97,0.57,0.54,25
HDFC Multi Cap FundNAReg(G),Equity : Multi Cap,Gopal Agrawal,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,15944.9,1.7,17.64,4.7,21.21,15.835,10.335,7.31,91233,3.37,2.84,7.48,0.36,0.29,0.56,0.97,15.42,3
HDFC MultiNAAsset Fund(G),Hybrid : Multi Asset Allocation,Srinivasan Ramamurthy,Open Ended,NIFTY 50 NA TRI,4034.3,1.9,69.45,10.71,13.78,17.8,10.91,22.7,315923,4.05,2.72,7.01,0.34,0.34,0.74,0.51,6.9,19
HDFC NIFTY 100 Equal Weight Index FundNAReg(G),Equity : Index Funds,Arun Agarwal,Open Ended,Nifty100 Equal Weight NA TRI,334.6,0.83,15.46,3.36,14.76,15.835,10.335,41.58,187117,3.105,2.595,7.065,0.15,0.19,0.36,0.99,15.77,3
HDFC Nifty 100 ETF,Equity : ETFs,Arun Agarwal,Open Ended,NIFTY 100 NA TRI,28.7,0.3,25.36,6.93,12.555,15.835,10.335,9.75,426157,3.105,2.595,7.065,0.15,0.21,0.43,1.0,12.29,2
HDFC NIFTY 100 Index FundNAReg(G),Equity : Index Funds,Arun Agarwal,Open Ended,NIFTY 100 NA TRI,317.7,0.75,14.41,6.33,12.64,15.835,10.335,10.15,426160,3.105,2.595,7.065,0.15,0.15,0.31,0.99,13.78,3
HDFC Nifty 1D Rate Liquid ETF(G),Debt : ETFs,Swapnil Jangam,Open Ended,Nifty 1D Rate Index,25.4,0.75,1009.01,5.8,12.555,15.835,10.335,0.0,160311,0.01,0.01,6.69,0.04,4.55,0.65,0.51,0.11,1
HDFC Nifty 50 ETF,Equity : ETFs,Arun Agarwal,Open Ended,NIFTY 50 NA TRI,4208.0,0.05,269.52,8.74,13.71,21.07,10.335,8.03,541621,3.105,2.595,7.065,0.15,0.18,0.37,1.0,13.01,9
HDFC Nifty 50 Index Fund(G)(Post Addendum),Equity : Index Funds,Arun Agarwal,Open Ended,NIFTY 50 NA TRI,19046.3,0.32,229.47,8.33,13.29,20.6,12.25,10.08,541620,3.105,2.595,7.065,0.15,0.17,0.35,1.0,13.02,22
HDFC NIFTY Bank ETF,Equity : ETFs,Arun Agarwal,Open Ended,NIFTY BANK NA TRI,2602.7,0.16,56.13,12.85,15.84,15.835,10.335,39.98,503472,3.105,2.595,7.065,0.15,0.17,0.36,1.0,15.65,4
HDFC NIFTY GNASec Apr 2029 Index FundNAReg(G),Debt : Medium to Long Duration,Anupam Joshi,Open Ended,NIFTY GNA Sec Apr 2029 Index,166.6,0.37,12.09,10.78,12.555,15.835,10.335,0.0,160311,4.02,3.36,6.57,0.09,0.84,1.5,0.64,1.63,2
HDFC Nifty GNASec Dec 2026 Index FundNAReg(G),Debt : Gilt,Anupam Joshi,Open Ended,Nifty GNAsec Dec 2026 Index,1324.8,0.36,12.02,8.53,12.555,15.835,10.335,0.0,160311,1.57,1.44,6.56,0.12,0.92,1.17,0.38,1.07,2
HDFC Nifty GNASec Jul 2031 Index FundNAReg(G),Debt : Gilt,Anupam Joshi,Open Ended,Nifty GNASec July 2031 Index,694.7,0.37,12.52,12.51,12.555,15.835,10.335,0.0,160311,6.19,4.99,6.63,0.05,0.69,1.48,0.88,2.12,2
HDFC Nifty GNASec Jun 2027 Index FundNAReg(G),Debt : Gilt,Anupam Joshi,Open Ended,Nifty GNASec Jun 2027 Index,746.0,0.36,11.99,9.26,12.555,15.835,10.335,0.0,160311,2.2,1.97,6.53,0.12,0.9,1.29,0.44,1.21,2
HDFC NIFTY GNASec Jun 2036 Index FundNAReg(G),Debt : Long Duration,Anupam Joshi,Open Ended,Nifty GNASec Jun 2036 Index,833.2,0.38,12.47,13.3,12.555,15.835,10.335,0.0,160311,11.11,7.38,6.78,0.15,0.65,1.43,1.15,2.82,2
HDFC Nifty GNASec Sep 2032 Index FundNAReg(G),Debt : Gilt,Anupam Joshi,Open Ended,Nifty GNASec Sep 2032 Index,639.4,0.38,12.43,12.64,12.555,15.835,10.335,0.0,160311,7.37,5.63,6.67,0.03,0.69,1.49,0.94,2.24,2
HDFC NIFTY Growth Sectors 15 ETF,Equity : ETFs,Arun Agarwal,Open Ended,Nifty Growth Sectors 15 NA TRI,14.1,0.3,114.92,5.4,12.555,15.835,10.335,111.77,253797,3.105,2.595,7.065,0.15,0.16,0.29,1.0,12.6,2
HDFC Nifty India Digital Index FundNAReg(G),Equity : Index Funds,Arun Agarwal,Open Ended,Nifty India Digital  NA TRI,200.8,0.9,8.41,8.43,12.555,15.835,10.335,20.84,153988,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
HDFC NIFTY IT ETF,Equity : ETFs,Arun Agarwal,Open Ended,NIFTY IT NA TRI,53.7,0.2,37.17,9.19,12.555,15.835,10.335,51.76,375885,3.105,2.595,7.065,0.15,0.11,0.21,1.0,20.36,2
HDFC Nifty LargeMidcap 250 Index FundNAReg(G),Equity : Index Funds,Arun Agarwal,Open Ended,NIFTY LargeMidcap 250 NA TRI,445.1,0.75,9.29,8.43,12.555,15.835,10.335,20.84,153410,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
HDFC NIFTY Midcap 150 ETF,Equity : ETFs,Arun Agarwal,Open Ended,Nifty Midcap 150 NA TRI,75.6,0.2,20.0,6.49,12.555,15.835,10.335,48.71,55279,3.105,2.595,7.065,0.15,0.4,0.77,1.0,16.38,2
HDFC NIFTY Midcap 150 Index FundNAReg(G),Equity : Index Funds,Arun Agarwal,Open Ended,Nifty Midcap 150 NA TRI,291.2,0.83,16.71,5.61,12.555,15.835,10.335,25.4,55280,3.105,2.595,7.065,0.15,0.38,0.71,0.99,16.58,1
HDFC NIFTY Next 50 ETF,Equity : ETFs,Arun Agarwal,Open Ended,NIFTY NEXT 50 NA TRI,79.4,0.25,65.28,1.17,12.555,15.835,10.335,93.84,134057,3.105,2.595,7.065,0.15,0.22,0.39,1.0,18.47,2
HDFC NIFTY Next 50 Index FundNAReg(G),Equity : Index Funds,Arun Agarwal,Open Ended,NIFTY NEXT 50 NA TRI,1758.4,0.66,14.9,0.16,14.52,15.835,10.335,82.55,134050,3.105,2.595,7.065,0.15,0.16,0.29,1.0,20.02,3
HDFC NIFTY Private Bank ETF,Equity : ETFs,Arun Agarwal,Open Ended,Nifty Private Bank NA TRI,322.3,0.15,27.75,12.69,12.555,15.835,10.335,45.91,409477,3.105,2.595,7.065,0.15,0.1,0.21,1.0,13.8,2
HDFC Nifty PSU Bank ETF,Equity : ETFs,Arun Agarwal,Open Ended,NIFTY PSU BANK NA TRI,24.3,0.35,65.67,8.43,12.555,15.835,10.335,67.12,170700,3.105,2.595,7.065,0.15,0.28,0.55,1.0,18.45,1
HDFC NIFTY Realty Index FundNAReg(G),Equity : Index Funds,Arun Agarwal,Open Ended,NIFTY REALTY NA TRI,106.7,0.89,9.89,8.43,12.555,15.835,10.335,35.3,68617,3.105,2.595,7.065,0.15,0.28,0.55,1.0,29.1,1
HDFC Nifty SDL Oct 2026 Index FundNAReg(G),Debt : Medium Duration,Anupam Joshi,Open Ended,Nifty SDL Oct 2026 Index,199.1,0.36,11.84,8.51,12.555,15.835,10.335,0.0,160311,1.33,1.23,6.76,0.18,1.29,1.24,0.27,0.85,2
HDFC NIFTY SDL Plus GNASec Jun 2027 40:60 Index FundNAReg(G),Debt : Medium Duration,Anupam Joshi,Open Ended,NIFTY SDL Plus GNASec Jun 2027 40:60 Index,49.0,0.35,11.78,9.21,12.555,15.835,10.335,0.0,160311,2.09,1.88,6.66,0.15,1.16,1.26,0.35,0.93,2
HDFC NIFTY Smallcap 250 ETF,Equity : ETFs,Arun Agarwal,Open Ended,Nifty Smallcap 250 NA TRI,936.2,0.2,154.16,8.43,12.555,15.835,10.335,64.0,16971,3.105,2.595,7.065,0.15,0.34,0.6,1.0,20.07,2
HDFC NIFTY Smallcap 250 Index FundNAReg(G),Equity : Index Funds,Arun Agarwal,Open Ended,Nifty Smallcap 250 NA TRI,400.4,0.81,16.5,8.43,12.555,15.835,10.335,63.8,16971,3.105,2.595,7.065,0.15,0.32,0.56,0.99,20.27,1
HDFC Nifty Top 20 Equal Weight Index FundNAReg(G),Equity : Index Funds,Arun Agarwal,Open Ended,Nifty Top 20 Equal Weight NA TRI,70.5,0.9,10.19,8.43,12.555,15.835,10.335,20.84,544718,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
HDFC NIFTY100 Low Volatility 30 ETF,Equity : ETFs,Arun Agarwal,Open Ended,Nifty100 Low Volatility 30 NA TRI,14.5,0.3,19.74,9.37,12.555,15.835,10.335,46.38,303481,3.105,2.595,7.065,0.15,0.32,0.67,1.0,11.89,2
